Date,Latitude,Longitude,Altitude,NO2,PM2.5,O3,PM10
2023-02-22 14:35:00+00:00,46.5592,15.656191,270.0,33.0,28.0,0,43.0
2023-02-21 09:35:00+00:00,46.5592,15.656191,270.0,46.0,19.0,0,43.0
2023-03-03 15:15:00+00:00,46.5592,15.656191,270.0,48.0,24.0,0,43.0
2023-02-23 20:15:00+00:00,46.5592,15.656191,270.0,36.0,34.0,0,43.0
2023-10-24 12:35:00+00:00,46.5592,15.656191,270.0,51.0,19.0,0,43.0
2023-02-23 16:15:00+00:00,46.5592,15.656191,270.0,49.0,22.0,0,43.0
2023-02-15 23:35:00+00:00,46.5592,15.656191,270.0,18.0,40.0,0,43.0
2023-02-16 20:35:00+00:00,46.5592,15.656191,270.0,32.0,33.0,0,43.0
2023-06-21 19:35:00+00:00,46.5592,15.656191,270.0,40.0,27.0,0,43.0
2023-12-08 12:35:00+00:00,46.5592,15.656191,270.0,55.0,37.0,0,43.0
2023-06-23 00:35:00+00:00,46.5592,15.656191,270.0,14.0,25.0,0,43.0
2023-03-03 15:35:00+00:00,46.5592,15.656191,270.0,48.0,24.0,0,43.0
2023-06-23 12:35:00+00:00,46.5592,15.656191,270.0,47.0,20.0,0,43.0
2023-11-19 18:35:00+00:00,46.5592,15.656191,270.0,44.0,36.0,0,43.0
2023-02-16 20:15:00+00:00,46.5592,15.656191,270.0,32.0,33.0,0,43.0
2023-02-23 16:35:00+00:00,46.5592,15.656191,270.0,49.0,22.0,0,43.0
2023-02-22 16:15:00+00:00,46.5592,15.656191,270.0,46.0,29.0,0,43.0
2023-02-15 23:15:00+00:00,46.5592,15.656191,270.0,18.0,40.0,0,43.0
2023-02-22 16:35:00+00:00,46.5592,15.656191,270.0,46.0,29.0,0,43.0
2023-02-22 14:15:00+00:00,46.5592,15.656191,270.0,33.0,28.0,0,43.0
2023-03-06 15:35:00+00:00,46.5592,15.656191,270.0,47.0,27.0,0,42.0
2023-06-18 23:35:00+00:00,46.5592,15.656191,270.0,22.0,18.0,0,42.0
2023-03-06 15:15:00+00:00,46.5592,15.656191,270.0,47.0,27.0,0,42.0
2023-02-22 17:15:00+00:00,46.5592,15.656191,270.0,39.0,31.0,0,42.0
2023-11-18 20:35:00+00:00,46.5592,15.656191,270.0,52.0,32.0,0,42.0
2023-12-08 11:35:00+00:00,46.5592,15.656191,270.0,54.0,32.0,0,42.0
2023-02-22 17:35:00+00:00,46.5592,15.656191,270.0,39.0,31.0,0,42.0
2023-03-07 20:35:00+00:00,46.5592,15.656191,270.0,54.0,30.0,0,42.0
2023-03-07 20:15:00+00:00,46.5592,15.656191,270.0,54.0,30.0,0,42.0
2023-11-13 21:35:00+00:00,46.5592,15.656191,270.0,42.0,33.0,0,42.0
2023-06-19 22:35:00+00:00,46.5592,15.656191,270.0,29.0,23.0,0,42.0
2023-06-22 13:35:00+00:00,46.5592,15.656191,270.0,40.0,21.0,0,42.0
2023-03-06 22:15:00+00:00,46.5592,15.656191,270.0,25.0,34.0,0,41.0
2023-02-18 22:35:00+00:00,46.5592,15.656191,270.0,62.0,29.0,0,41.0
2023-10-13 18:35:00+00:00,46.5592,15.656191,270.0,21.0,18.0,0,41.0
